name,equipment,focus,link,video,images,description,type
Landmine 180's,Barbell,Abdominals,https://www.bodybuilding.com/exercises/detail/view/name/landmine-180s,videocdn.bodybuilding.com/video/mp4/104000/105052m.mp4,"http://www.bodybuilding.com/exercises/exerciseImages/sequences/1751/Male/l/1751_1.jpg,http://www.bodybuilding.com/exercises/exerciseImages/sequences/1751/Male/l/1751_2.jpg,https://assets.bodybuilding.com/images/trackers/exercise/heatmap/13.gif","<ol>
<li>Position a bar into a landmine or securely anchor it in a corner. Load the bar to an appropriate weight.</li>
<li>Raise the bar from the floor, taking it to shoulder height with both hands with your arms extended in front of you. Adopt a wide stance. This will be your starting position.</li>
<li>Perform the movement by rotating the trunk and hips as you swing the weight all the way down to one side. Keep your arms extended throughout the exercise. </li>
<li>Reverse the motion to swing the weight all the way to the opposite side.</li>
<li>Continue alternating the movement until the set is complete. </li>
</ol>",Krachttraining
Plank,Body Only,Abdominals,https://www.bodybuilding.com/exercises/detail/view/name/plank,videocdn.bodybuilding.com/video/mp4/90000/91032m.mp4,"http://www.bodybuilding.com/exercises/exerciseImages/sequences/908/Male/l/908_1.jpg,http://www.bodybuilding.com/exercises/exerciseImages/sequences/908/Male/l/908_2.jpg,https://assets.bodybuilding.com/images/trackers/exercise/heatmap/13.gif","<ol>
<li> Get into a prone position on the floor, supporting your weight on your toes and your forearms. Your arms are bent and directly below the shoulder.</li>
<li> Keep  your body straight at all times, and hold this position as long as possible. To increase difficulty, an arm or leg can be raised.</li>
</ol>",Krachttraining
Bottoms Up,Body Only,Abdominals,https://www.bodybuilding.com/exercises/detail/view/name/bottoms-up,videocdn.bodybuilding.com/video/mp4/104000/105252m.mp4,"http://www.bodybuilding.com/exercises/exerciseImages/sequences/2021/Male/l/2021_1.jpg,http://www.bodybuilding.com/exercises/exerciseImages/sequences/2021/Male/l/2021_2.jpg,https://assets.bodybuilding.com/images/trackers/exercise/heatmap/13.gif","<ol>
<li>Begin by lying on your back on the ground. Your legs should be straight and your arms at your side. This will be your starting position.</li>
<li>To perform the movement, tuck the knees toward your chest by flexing the hips and knees. Following this, extend your legs directly above you so that they are perpendicular to the ground. Rotate and elevate your pelvis to raise your glutes from the floor. </li>
<li>After a brief pause, return to the starting position. </li>
</ol>",Krachttraining
Suspended Fallout,Other,Abdominals,https://www.bodybuilding.com/exercises/detail/view/name/suspended-fallout,videocdn.bodybuilding.com/video/mp4/110000/111382m.mp4,"http://www.bodybuilding.com/exercises/exerciseImages/sequences/2723/Male/l/2723_1.jpg,http://www.bodybuilding.com/exercises/exerciseImages/sequences/2723/Male/l/2723_2.jpg,https://assets.bodybuilding.com/images/trackers/exercise/heatmap/13.gif","<ol>
<li>Adjust the straps so the handles are at an appropriate height, below waist level.</li>
<li> Begin standing and grasping the handles. Lean into the straps, moving to an incline push-up position. This will be your starting position.</li>
<li> Keeping your arms straight, lean further into the suspension straps, bringing your body closer to the ground, allowing your shoulders to extend, raising your arms up and over your head. </li>
<li>Maintain a neutral spine and keep the rest of your body straight, your shoulders being the only joints allowed to move.</li>
<li> Pause during the peak contraction, and then return to the starting position.</li>
</ol>",Krachttraining
Decline Reverse Crunch,Body Only,Abdominals,https://www.bodybuilding.com/exercises/detail/view/name/decline-reverse-crunch,videocdn.bodybuilding.com/video/mp4/38000/38951m.mp4,"http://www.bodybuilding.com/exercises/exerciseImages/sequences/194/Male/l/194_1.jpg,http://www.bodybuilding.com/exercises/exerciseImages/sequences/194/Male/l/194_2.jpg,https://assets.bodybuilding.com/images/trackers/exercise/heatmap/13.gif","<ol>
<li>Lie on your back on a decline bench and hold on to the top of the bench with both hands. Don't let your body slip down from this position.</li>
<li>Hold your legs parallel to the floor using your abs to hold them there while keeping your knees and feet together. Tip: Your legs should be fully extended with a slight bend on the knee.  This will be your starting position.</li>
<li>While exhaling, move your legs towards the torso as you roll your pelvis backwards and you raise your hips off the bench.  At the end of this movement your knees will be touching your chest.</li>
<li>Hold the contraction for a second and move your legs back to the starting position while inhaling.</li>
<li>Repeat for the recommended amount of repetitions.</li>
<p></p>
</ol>",Krachttraining
Cross-Body Crunch,Body Only,Abdominals,https://www.bodybuilding.com/exercises/detail/view/name/cross-body-crunch,videocdn.bodybuilding.com/video/mp4/38000/38841m.mp4,"http://www.bodybuilding.com/exercises/exerciseImages/sequences/124/Male/l/124_1.jpg,http://www.bodybuilding.com/exercises/exerciseImages/sequences/124/Male/l/124_2.jpg,https://assets.bodybuilding.com/images/trackers/exercise/heatmap/13.gif","<ol>
<li> Lie flat on your back and bend your knees about 60 degrees.</li>
<li> Keep your feet flat on the floor and place your hands loosely behind your head. This will be your starting position.</li>
<li> Now curl up and bring your right elbow and shoulder across your body while bring your left knee in toward your left shoulder at the same time. Reach with your elbow and try to touch your knee. Exhale as you perform this movement. <strong>Tip:</strong> Try to bring your shoulder up towards your knee rather than just your elbow and remember that the key is to contract the abs as you perform the movement; not just to move the elbow.</li>
<li> Now go back down to the starting position as you inhale and repeat with the left elbow and the right knee.</li>
<li> Continue alternating in this manner until all prescribed repetitions are done.</li>
</ol>",Krachttraining
Cocoons,Body Only,Abdominals,https://www.bodybuilding.com/exercises/detail/view/name/cocoons,videocdn.bodybuilding.com/video/mp4/104000/105242m.mp4,"http://www.bodybuilding.com/exercises/exerciseImages/sequences/2011/Male/l/2011_1.jpg,http://www.bodybuilding.com/exercises/exerciseImages/sequences/2011/Male/l/2011_2.jpg,https://assets.bodybuilding.com/images/trackers/exercise/heatmap/13.gif","<ol>
<li>Begin by lying on your back on the ground. Your legs should be straight and your arms extended behind your head. This will be your starting position.</li>
<li>To perform the movement, tuck the knees toward your chest, rotating your pelvis to lift your glutes from the floor. As you do so, flex the spine, bringing your arms back over your head to perform a simultaneous crunch motion.</li>
<li>After a brief pause, return to the starting position. </li>
</ol>",Krachttraining
Plate Twist,Other,Abdominals,https://www.bodybuilding.com/exercises/detail/view/name/plate-twist,videocdn.bodybuilding.com/video/mp4/40000/40961m.mp4,"http://www.bodybuilding.com/exercises/exerciseImages/sequences/106/Male/l/106_1.jpg,http://www.bodybuilding.com/exercises/exerciseImages/sequences/106/Male/l/106_2.jpg,https://assets.bodybuilding.com/images/trackers/exercise/heatmap/13.gif","<ol>
<li> Lie down on the floor or an exercise mat with your legs fully extended and your upper body upright.  Grab the plate by its sides with both hands out in front of your abdominals with your arms slightly bent.</li>
<li> Slowly cross your legs near your ankles and lift them up off the ground.  Your knees should also be bent slightly.  <strong>Note:</strong> Move your upper body back slightly to help keep you balanced turning this exercise.  This is the starting position.</li>
<li> Move the plate to the left side and touch the floor with it.  Breathe out as you perform that movement.</li>
<li> Come back to the starting position as you breathe in and then repeat the movement but this time to the right side of the body. <strong>Tip:</strong> Use a slow controlled movement at all times.  Jerking motions can injure the back.</li>
<li> Repeat for the recommended amount of repetitions.</li>
</ol>",Krachttraining
One-Arm Medicine Ball Slam,Medicine Ball,Abdominals,https://www.bodybuilding.com/exercises/detail/view/name/one-arm-medicine-ball-slam,videocdn.bodybuilding.com/video/mp4/104000/105312m.mp4,"http://www.bodybuilding.com/exercises/exerciseImages/sequences/2081/Male/l/2081_1.jpg,http://www.bodybuilding.com/exercises/exerciseImages/sequences/2081/Male/l/2081_2.jpg,https://assets.bodybuilding.com/images/trackers/exercise/heatmap/13.gif","<ol>
<li>Start in a standing position with a staggered, athletic stance. Hold a medicine ball in one hand, on the same side as your back leg. This will be your starting position. </li>
<li>Begin by winding the arm, raising the medicine ball above your head. As you do so, extend through the hips, knees, and ankles to load up for the slam.</li>
<li>At peak extension, flex the shoulders, spine, and hips to throw the ball hard into the ground directly in front of you. </li>
<li>Catch the ball on the bounce and continue for the desired number of repetitions. </li>
</ol>",Krachttraining
Standing Cable Lift,Cable,Abdominals,https://www.bodybuilding.com/exercises/detail/view/name/standing-cable-lift,videocdn.bodybuilding.com/video/mp4/94000/95621m.mp4,"http://www.bodybuilding.com/exercises/exerciseImages/sequences/936/Male/l/936_1.jpg,http://www.bodybuilding.com/exercises/exerciseImages/sequences/936/Male/l/936_2.jpg,https://assets.bodybuilding.com/images/trackers/exercise/heatmap/13.gif","<ol>
<li>Connect a standard handle on a tower, and move the cable to the lowest pulley position.</li>
<li>With your side to the cable, grab the handle with one hand and step away from the tower. You should be approximately armâ€™s length away from the pulley, with the tension of the weight on the cable. Your outstretched arm should be aligned with the cable.</li>
<li>With your feet positioned shoulder width apart, squat down and grab the handle with both hands. Your arms should still be fully extended.</li>
<li>In one motion, pull the handle up and across your body until your arms are in a fully-extended position above your head.</li>
<li>Keep your back straight and your arms close to your body as you pivot your back foot and straighten your legs to get a full range of motion.</li>
<li>Retract your arms and then your body. Return to the neutral position in a slow and controlled manner.</li>
<li>Repeat to failure.</li>
<li>Then, reposition and repeat the same series of movements on the opposite side.</li>
</ol>",Krachttraining
